Id,zone_FV,zone_RH,zone_RL,zone_RM,YearBuilt,YearRemodAdd,FinishedBasement,BsmtFinSF1,Basement,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,BathTotal,KitchenAbvGr,TotRmsAbvGrd,GarageCars,WoodDeckSF,OpenPorchSF,LOG(Porch),EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,SalePrice,Zeros,OverallQual,OverallCond,ExterQual_NUM,ExterCond_NUM,KitchenQual_NUM,QUALITY,QUALITY2,logqual,TOT_rooms,ft_per_room,LOG(YFN)2,Sold_FN,sale_cond,sale_new,sale_other,sale_con,sale_deed,cond_norm,cond_abnorm,cond_ajdlnd,cond_alloc,cond_fam,cond_part,Blmngtn,BrDale,BrkSide,ClearCr,CollgCr,Crawfor,Edwards,Gilbert,IDOTRR,MeadowV,Mitchel,NAmes,NoRidge,NridgHt,NWAmes,OldTown,Sawyer,SawyerW,Somerst,StoneBr,SWISU,Timber,Fix_LotFrontage,LotArea,NUM_BsmtQual,NUM_BsmtCond,NUM_BsmtExpos,BsmtFinSF1,BsmtFinType2,,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,NUM_Heat,CentralAir,1stFlrSF,2ndFlrSF,BsmtFullBath,BsmtHalfBath,TOTBaseBath,FullBath,HalfBath,TOTbath,BedroomAbvGr,KitchenAbvGr,Fireplaces,NUM_Fire,GarageCars,GarageArea,NUM_GarQual,NUM_GarCond,PavedDrive,TOT_Porch,LOG(bsun)
1,0,0,1,0,2003,2003,1,706,1,856,856,854,1710,1,0,2,1,3,2.5,1,8,2,0,61,1.785329835,0,0,0,0,208500,7,7,5,4,3,4,10,11,1.041392685,4,83.5,1.806179974,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,8450,4,3,0,706,Unf,#NAME?,0,150,856,5,1,856,854,1,0,1,2,1,4,3,1,0,0,2,548,3,3,1,61,2.176091259
2,0,0,1,0,1976,1976,1,978,1,1262,1262,0,1262,0,1,2,0,3,2,1,6,2,298,0,0.01,0,0,0,0,181500,9,6,8,3,3,3,17,33,1.51851394,10,115.2,1.740362689,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,9600,4,3,3,978,Unf,,0,284,1262,5,1,1262,0,0,1,0.5,2,0,2.5,3,1,1,3,2,460,3,3,1,149,2.45331834
3,0,0,1,0,2001,2002,1,486,1,920,920,866,1786,1,0,2,1,3,2.5,1,6,2,0,42,1.62324929,0,0,0,0,223500,7,7,5,4,3,4,19,40,1.602059991,12,138.6666667,1.653212514,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,11250,4,3,1,486,Unf,,0,434,920,5,1,920,866,1,0,1,2,1,4,3,1,1,3,2,608,3,3,1,42,2.63748973
4,0,0,1,0,1915,1970,1,216,1,756,961,756,1717,1,0,1,0,3,1,1,7,3,0,35,1.544068044,272,0,0,0,140000,7,7,5,3,3,4,15,28,1.447158031,11,99.27272727,1.903089987,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,9550,3,4,0,216,Unf,,0,540,756,4,1,961,756,1,0,1,1,0,2,3,1,1,4,3,642,3,3,1,579,2.73239376
5,0,0,1,0,2000,2000,1,655,1,1145,1145,1053,2198,1,0,2,1,4,2.5,1,9,3,192,84,1.924279286,0,0,0,0,250000,6,8,5,4,3,4,21,45,1.653212514,8,116.25,1.806179974,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,84,14260,4,3,2,655,Unf,,0,490,1145,5,1,1145,1053,1,0,1,2,1,4,4,1,1,3,3,836,3,3,1,180,2.69019608
6,0,0,1,0,1993,1995,1,987,1,1347,1372,1274,2646,1,0,2,1,4,2.5,1,9,3,340,60,1.77815125,144,0,0,0,260000,5,7,5,4,3,4,18,35,1.544068044,5,182.4,1.799340549,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,85,14115,4,3,0,732,Unf,,0,64,796,5,1,796,566,1,0,1,1,1,3,1,1,0,0,2,480,3,3,1,530,2.556302501
7,0,0,1,0,2004,2005,1,1369,1,1686,1694,0,1694,1,0,2,0,3,2,1,7,2,255,57,1.755874856,0,0,0,0,307000,8,8,5,4,3,4,16,27,1.431363764,10,104,1.785329835,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,75,10084,5,3,2,1369,Unf,,0,317,1686,5,1,1694,0,1,0,1,2,0,3,3,1,1,4,2,636,3,3,1,184.5,2.501059262
8,0,0,1,0,1973,1973,1,790,1,1392,1392,1392,2784,1,0,3,1,5,3.5,1,12,2,0,112,2.049218023,0,0,440,519,250000,4,7,5,3,3,4,18,33,1.51851394,6,120,1.785329835,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10382,4,3,1,859,BLQ,,32,216,1107,5,1,1107,983,1,0,1,2,1,4,3,1,2,3,2,484,3,3,1,777.5,2.123851641
9,0,0,0,1,1931,1950,0,0,1,952,1022,752,1774,0,0,2,0,2,2,2,8,2,90,0,0.01,205,0,0,0,129900,10,7,5,3,3,3,18,35,1.544068044,10,104,1.785329835,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,51,6120,3,3,0,0,Unf,,0,952,952,4,1,1022,752,0,0,0,2,0,2,2,2,2,3,2,468,2,3,1,455,2.978636948
10,0,0,1,0,1939,1950,1,851,1,991,1077,0,1077,1,0,1,0,2,1,2,5,1,0,4,0.602059991,0,0,0,0,118000,9,5,6,3,3,3,16,27,1.431363764,10,104,1.77815125,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,7420,3,3,0,851,Unf,,0,140,991,5,1,1077,0,1,0,1,1,0,2,2,2,2,3,1,205,4,3,1,4,2.146128036
